,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__hidden_layer_sizes,param_classifier__learning_rate_init,param_classifier__max_iter,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score,holdout_test_score
0,0.0974431037902832,0.01675105094909668,0.0038836002349853516,0.0009725093841552734,"(26,)",0.1,100,"{'classifier__hidden_layer_sizes': (26,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 100}",0.41705989110707803,0.4176663031624864,0.4173628768616055,0.00030320594769211095,196,0.4176663031624864,0.41742286751361163,0.417544585338049,0.00012171782443737289,0.4166666666666667
1,0.10527372360229492,0.00475621223449707,0.002986431121826172,0.00012612342834472656,"(26,)",0.1,1000,"{'classifier__hidden_layer_sizes': (26,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 1000}",0.41742286751361163,0.4176663031624864,0.41754449691245915,0.00012171779231764841,154,0.4176663031624864,0.41742286751361163,0.417544585338049,0.00012171782443737289,0.4166666666666667
2,0.11814761161804199,0.04838991165161133,0.0017510652542114258,1.800060272216797e-05,"(26,)",0.1,10000,"{'classifier__hidden_layer_sizes': (26,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 10000}",0.41742286751361163,0.4198473282442748,0.4186342172175808,0.001212230045440014,75,0.4176663031624864,0.41814882032667877,0.41790756174458255,0.00024125858209619877,0.4166666666666667
3,0.45534467697143555,0.06189417839050293,0.007445216178894043,0.005141615867614746,"(26,)",0.01,100,"{'classifier__hidden_layer_sizes': (26,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 100}",0.4166969147005445,0.4194838240639767,0.41808935706502,0.0013934543140018505,108,0.42093784078516905,0.41814882032667877,0.4195433305559239,0.0013945102292451383,0.4199346405228758
4,0.18832767009735107,0.0012220144271850586,0.0018007755279541016,2.6226043701171875e-05,"(26,)",0.01,1000,"{'classifier__hidden_layer_sizes': (26,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.41742286751361163,0.4176663031624864,0.41754449691245915,0.00012171779231764841,154,0.4176663031624864,0.4185117967332123,0.41808904994784934,0.0004227467853629707,0.4166666666666667
5,0.5279769897460938,0.295363187789917,0.001826643943786621,8.33272933959961e-05,"(26,)",0.01,10000,"{'classifier__hidden_layer_sizes': (26,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 10000}",0.4177858439201452,0.4198473282442748,0.4188158372684344,0.0010307418900655793,66,0.4194838240639767,0.4188747731397459,0.4191792986018613,0.00030452546211540144,0.4166666666666667
6,0.5653899908065796,0.05275857448577881,0.0023347139358520508,0.0005522966384887695,"(26,)",0.001,100,"{'classifier__hidden_layer_sizes': (26,), 'classifier__learning_rate_init': 0.001, 'classifier__max_iter': 100}",0.41234119782214157,0.4198473282442748,0.41609153650563024,0.003753064220682323,228,0.42202835332606325,0.4188747731397459,0.42045156323290456,0.0015767900931586698,0.41830065359477125
7,0.7119240760803223,0.03446507453918457,0.00186920166015625,0.000118255615234375,"(26,)",0.001,1000,"{'classifier__hidden_layer_sizes': (26,), 'classifier__learning_rate_init': 0.001, 'classifier__max_iter': 1000}",0.4185117967332123,0.4183933115230825,0.4184525971667272,5.924258943156182e-05,92,0.420574336604871,0.4203266787658802,0.4204505076853756,0.000123828919495389,0.4199346405228758
8,0.5722273588180542,0.025136351585388184,0.001846909523010254,2.9921531677246094e-05,"(26,)",0.001,10000,"{'classifier__hidden_layer_sizes': (26,), 'classifier__learning_rate_init': 0.001, 'classifier__max_iter': 10000}",0.41814882032667877,0.4194838240639767,0.4188158372684344,0.0006675016925040558,66,0.42202835332606325,0.4206896551724138,0.42135900424923856,0.0006693490768247268,0.4199346405228758
9,0.07643508911132812,0.006310701370239258,0.006855010986328125,0.005063533782958984,"(27,)",0.1,100,"{'classifier__hidden_layer_sizes': (27,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 100}",0.41742286751361163,0.4176663031624864,0.41754449691245915,0.00012171779231764841,154,0.4176663031624864,0.41742286751361163,0.417544585338049,0.00012171782443737289,0.4166666666666667
10,0.13433802127838135,0.036211371421813965,0.0020595788955688477,0.00015342235565185547,"(27,)",0.1,1000,"{'classifier__hidden_layer_sizes': (27,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 1000}",0.41814882032667877,0.4176663031624864,0.4179077370141664,0.0002412585184312489,120,0.4198473282442748,0.41742286751361163,0.4186350978789432,0.0012122303653315791,0.4166666666666667
11,0.08096933364868164,0.004556417465209961,0.0017861127853393555,5.543231964111328e-05,"(27,)",0.1,10000,"{'classifier__hidden_layer_sizes': (27,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 10000}",0.41705989110707803,0.4176663031624864,0.4173628768616055,0.00030320594769211095,196,0.41802980734278444,0.41742286751361163,0.41772633742819804,0.00030346991458640726,0.4166666666666667
12,0.3418691158294678,0.0015726089477539062,0.0024216175079345703,0.0003941059112548828,"(27,)",0.01,100,"{'classifier__hidden_layer_sizes': (27,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 100}",0.41705989110707803,0.42021083242457286,0.4186342172175808,0.0015754702430015376,75,0.41802980734278444,0.41996370235934666,0.4189967548510656,0.0009669475082811074,0.4199346405228758
13,0.2058652639389038,0.003271937370300293,0.0017868280410766602,7.68899917602539e-05,"(27,)",0.01,1000,"{'classifier__hidden_layer_sizes': (27,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.4185117967332123,0.4176663031624864,0.41808935706502,0.0004227466738056837,108,0.4198473282442748,0.41742286751361163,0.4186350978789432,0.0012122303653315791,0.4166666666666667
14,0.23292934894561768,0.02297985553741455,0.0018018484115600586,0.0001055002212524414,"(27,)",0.01,10000,"{'classifier__hidden_layer_sizes': (27,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 10000}",0.4177858439201452,0.4173027989821883,0.41754449691245915,0.00024152240524384733,154,0.4198473282442748,0.4177858439201452,0.41881658608220995,0.0010307421620648072,0.4166666666666667
15,0.5025067329406738,0.05756044387817383,0.0019087791442871094,9.202957153320312e-05,"(27,)",0.001,100,"{'classifier__hidden_layer_sizes': (27,), 'classifier__learning_rate_init': 0.001, 'classifier__max_iter': 100}",0.42177858439201454,0.41657579062159217,0.41917907737014165,0.0026013961987369463,48,0.4278444202108324,0.4203266787658802,0.4240855494883563,0.003758870722476104,0.41830065359477125
16,1.1053991317749023,0.36766934394836426,0.0018790960311889648,0.00015938282012939453,"(27,)",0.001,1000,"{'classifier__hidden_layer_sizes': (27,), 'classifier__learning_rate_init': 0.001, 'classifier__max_iter': 1000}",0.4192377495462795,0.42857142857142855,0.4239011986923356,0.004666838281057275,16,0.42748091603053434,0.4399274047186933,0.4337041603746138,0.006223244344079476,0.4199346405228758
17,0.8212922811508179,0.2707115411758423,0.00201261043548584,0.00022923946380615234,"(27,)",0.001,10000,"{'classifier__hidden_layer_sizes': (27,), 'classifier__learning_rate_init': 0.001, 'classifier__max_iter': 10000}",0.4203266787658802,0.42929843693202474,0.4248092989466037,0.0044858778993080925,12,0.4245728825881498,0.435934664246824,0.4302537734174869,0.005680890829337093,0.42320261437908496
18,0.09055984020233154,0.021768927574157715,0.002143263816833496,0.00022971630096435547,"(28,)",0.1,100,"{'classifier__hidden_layer_sizes': (28,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 100}",0.41742286751361163,0.4176663031624864,0.41754449691245915,0.00012171779231764841,154,0.4176663031624864,0.41742286751361163,0.417544585338049,0.00012171782443737289,0.4166666666666667
19,0.06859016418457031,0.0004334449768066406,0.0017390251159667969,5.53131103515625e-05,"(28,)",0.1,1000,"{'classifier__hidden_layer_sizes': (28,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 1000}",0.41742286751361163,0.4176663031624864,0.41754449691245915,0.00012171779231764841,154,0.4176663031624864,0.41742286751361163,0.417544585338049,0.00012171782443737289,0.4166666666666667
