,feature,k2_p,k2_rejected,k2_stat,shapiro_p,shapiro_rejected,shapiro_stat
0,0,0.0,True,2823.599188140042,0.0,True,2823.599188140042
1,1,0.0,True,1601.0542889147716,0.0,True,1601.0542889147716
2,2,0.0,True,2008.0548221193785,0.0,True,2008.0548221193785
3,3,0.0,True,2600.637828468568,0.0,True,2600.637828468568
4,4,0.0,True,13679.097020550616,0.0,True,13679.097020550616
5,5,0.0,True,4720.085093801927,0.0,True,4720.085093801927
6,6,2.072199761691138e-261,True,1200.4921970832265,2.072199761691138e-261,True,1200.4921970832265
7,7,0.0,True,5271.103040321839,0.0,True,5271.103040321839
8,8,0.0,True,3385.5865491379755,0.0,True,3385.5865491379755
9,9,1.108443016003309e-124,True,570.8351903778217,1.108443016003309e-124,True,570.8351903778217
10,10,0.0,True,4581.609445042932,0.0,True,4581.609445042932
11,11,0.0,True,1664.837327034869,0.0,True,1664.837327034869
12,12,1.7144377025495116e-242,True,1113.3730146958717,1.7144377025495116e-242,True,1113.3730146958717
13,13,0.0,True,3360.3192032188654,0.0,True,3360.3192032188654
14,14,0.0,True,2731.735253057188,0.0,True,2731.735253057188
15,15,0.0,True,6607.8463735505175,0.0,True,6607.8463735505175
16,16,0.0,True,1469.6456074151704,0.0,True,1469.6456074151704
17,17,0.0,True,1877.3753844759106,0.0,True,1877.3753844759106
18,18,0.0,True,2386.1882276859187,0.0,True,2386.1882276859187
19,19,0.0,True,1449.1363666312373,0.0,True,1449.1363666312373
20,20,0.0,True,2407.1051271448696,0.0,True,2407.1051271448696
21,21,0.0,True,1987.0575654939282,0.0,True,1987.0575654939282
22,22,0.0,True,2145.236409365548,0.0,True,2145.236409365548
23,23,0.0,True,7597.924913091132,0.0,True,7597.924913091132
