,feature,k2_p,k2_rejected,k2_stat,shapiro_p,shapiro_rejected,shapiro_stat
0,0,0.0,True,2823.5991881400428,0.0,True,2823.5991881400428
1,1,0.0,True,1601.0542889147716,0.0,True,1601.0542889147716
2,2,0.0,True,2008.054822119379,0.0,True,2008.054822119379
3,3,0.0,True,2600.637828468568,0.0,True,2600.637828468568
4,4,0.0,True,13679.097020550616,0.0,True,13679.097020550616
5,5,0.0,True,4720.085093801927,0.0,True,4720.085093801927
6,6,2.072199761690902e-261,True,1200.4921970832268,2.072199761690902e-261,True,1200.4921970832268
7,7,0.0,True,5271.103040321839,0.0,True,5271.103040321839
8,8,0.0,True,3385.5865491379745,0.0,True,3385.5865491379745
9,9,1.108443016003119e-124,True,570.8351903778221,1.108443016003119e-124,True,570.8351903778221
10,10,0.0,True,4581.609445042932,0.0,True,4581.609445042932
11,11,0.0,True,1664.8373270348693,0.0,True,1664.8373270348693
12,12,1.7144377025497062e-242,True,1113.3730146958715,1.7144377025497062e-242,True,1113.3730146958715
13,13,0.0,True,3360.319203218864,0.0,True,3360.319203218864
14,14,0.0,True,2731.735253057186,0.0,True,2731.735253057186
15,15,0.0,True,6607.846373550514,0.0,True,6607.846373550514
16,16,0.0,True,1469.6456074151704,0.0,True,1469.6456074151704
17,17,0.0,True,1877.375384475911,0.0,True,1877.375384475911
18,18,0.0,True,2386.1882276859196,0.0,True,2386.1882276859196
19,19,0.0,True,1449.1363666312373,0.0,True,1449.1363666312373
20,20,0.0,True,2407.105127144869,0.0,True,2407.105127144869
21,21,0.0,True,1987.057565493928,0.0,True,1987.057565493928
22,22,0.0,True,2145.2364093655483,0.0,True,2145.2364093655483
23,23,0.0,True,7597.924913091134,0.0,True,7597.924913091134
