,feature,k2_p,k2_rejected,k2_stat,shapiro_p,shapiro_rejected,shapiro_stat
0,0,3.342954342973195e-151,True,692.966988184515,3.342954342973195e-151,True,692.966988184515
1,1,0.0,True,1945.6653428214015,0.0,True,1945.6653428214015
2,2,1.16787036719925e-283,True,1302.9527988521106,1.16787036719925e-283,True,1302.9527988521106
3,3,2.9458546221756954e-146,True,670.1940492156764,2.9458546221756954e-146,True,670.1940492156764
4,4,0.6062023697616361,False,1.0010828103169869,0.6062023697616361,False,1.0010828103169869
5,5,2.0891495130019358e-132,True,606.4089504472689,2.0891495130019358e-132,True,606.4089504472689
6,6,0.0,True,2663.195555139384,0.0,True,2663.195555139384
7,7,4.46308307992169e-309,True,1420.0059078688453,4.46308307992169e-309,True,1420.0059078688453
8,8,0.0,True,10120.829412048943,0.0,True,10120.829412048943
9,9,0.0,True,7055.0900561418175,0.0,True,7055.0900561418175
10,10,0.0,True,2005.5969895569724,0.0,True,2005.5969895569724
11,11,0.0,True,1452.5955934732197,0.0,True,1452.5955934732197
12,12,0.0,True,12989.23539212229,0.0,True,12989.23539212229
13,13,0.0,True,9288.037889634497,0.0,True,9288.037889634497
14,14,4.208632049203618e-205,True,941.1856127956323,4.208632049203618e-205,True,941.1856127956323
15,15,0.0,True,10582.284828380709,0.0,True,10582.284828380709
16,16,4.753737731247589e-05,True,19.907988531141903,4.753737731247589e-05,True,19.907988531141903
17,17,0.0,True,8715.056831353617,0.0,True,8715.056831353617
18,18,2.313451485380718e-29,True,131.8724542758178,2.313451485380718e-29,True,131.8724542758178
19,19,2.4419427965620533e-307,True,1412.0016591971782,2.4419427965620533e-307,True,1412.0016591971782
20,20,0.0,True,2802.4736068073316,0.0,True,2802.4736068073316
21,21,0.0,True,11435.916007934084,0.0,True,11435.916007934084
22,22,0.0,True,2881.6676658011,0.0,True,2881.6676658011
23,23,0.0,True,3678.469816046081,0.0,True,3678.469816046081
24,24,0.0,True,4490.825474475998,0.0,True,4490.825474475998
25,25,0.0,True,4691.911874402493,0.0,True,4691.911874402493
26,26,0.0,True,5777.177942178316,0.0,True,5777.177942178316
27,27,0.0,True,4637.228722218621,0.0,True,4637.228722218621
28,28,0.0,True,11300.668454199658,0.0,True,11300.668454199658
29,29,0.0,True,11435.915870261371,0.0,True,11435.915870261371
30,30,0.0,True,3612.8226122480824,0.0,True,3612.8226122480824
31,31,0.0,True,1444.0881477278006,0.0,True,1444.0881477278006
32,32,4.208632049203618e-205,True,941.1856127956323,4.208632049203618e-205,True,941.1856127956323
33,33,0.0,True,17512.811855512035,0.0,True,17512.811855512035
34,34,0.6062023697616361,False,1.0010828103169869,0.6062023697616361,False,1.0010828103169869
35,35,0.0,True,7425.363970227088,0.0,True,7425.363970227088
36,36,0.0,True,5158.604068937211,0.0,True,5158.604068937211
37,37,0.0,True,12988.979082465185,0.0,True,12988.979082465185
38,38,0.0,True,6809.010589015521,0.0,True,6809.010589015521
39,39,0.0,True,6398.313264069834,0.0,True,6398.313264069834
40,40,0.0,True,7509.079712696233,0.0,True,7509.079712696233
41,41,0.0,True,9120.117493392487,0.0,True,9120.117493392487
42,42,0.0,True,6826.599608680415,0.0,True,6826.599608680415
43,43,0.0,True,11971.927188702617,0.0,True,11971.927188702617
44,44,0.0,True,17356.552515268886,0.0,True,17356.552515268886
45,45,0.0,True,1533.3745657350555,0.0,True,1533.3745657350555
46,46,2.432145088744075e-108,True,495.5808328456636,2.432145088744075e-108,True,495.5808328456636
47,47,0.0,True,2542.6020297674418,0.0,True,2542.6020297674418
48,48,0.0,True,1614.9879463503444,0.0,True,1614.9879463503444
49,49,0.0,True,2322.239804320384,0.0,True,2322.239804320384
50,50,2.2087671772963627e-218,True,1002.3422315022989,2.2087671772963627e-218,True,1002.3422315022989
51,51,0.0,True,5596.18653280566,0.0,True,5596.18653280566
52,52,1.0493296017989477e-171,True,787.3877988324024,1.0493296017989477e-171,True,787.3877988324024
